Year,Team,W,L,T
2005,Saints,3,13,0
2004,Saints,8,8,0
2003,Saints,8,8,0
2002,Saints,9,7,0
2001,Saints,7,9,0
2000,Saints,10,6,0
1999,Saints,3,13,0
1998,Saints,6,10,0
1997,Saints,6,10,0
1996,Saints,3,13,0
1995,Saints,7,9,0
1994,Saints,7,9,0
1993,Saints,8,8,0
1992,Saints,12,4,0
1991,Saints,11,5,0
1990,Saints,8,8,0
1989,Saints,9,7,0
1988,Saints,10,6,0
1987,Saints,12,3,0
1986,Saints,7,9,0
1985,Saints,5,11,0
1984,Saints,7,9,0
1983,Saints,8,8,0
1982,Saints,4,5,0
1981,Saints,4,12,0
1980,Saints,1,15,0
1979,Saints,8,8,0
1978,Saints,7,9,0
1977,Saints,3,11,0
1976,Saints,4,10,0
1975,Saints,2,12,0
1974,Saints,5,9,0
1973,Saints,5,9,0
1972,Saints,2,11,1
1971,Saints,4,8,2
2019,Panthers,5,11,0
2018,Panthers,7,9,0
2017,Panthers,11,5,0
2016,Panthers,6,10,0
2015,Panthers,15,1,0
2014,Panthers,7,8,1
2013,Panthers,12,4,0
2012,Panthers,7,9,0
2011,Panthers,6,10,0
2010,Panthers,2,14,0
2009,Panthers,8,8,0
2008,Panthers,12,4,0
2007,Panthers,7,9,0
2006,Panthers,8,8,0
2005,Panthers,11,5,0
2004,Panthers,7,9,0
2003,Panthers,11,5,0
2002,Panthers,7,9,0
2001,Panthers,1,15,0
2000,Panthers,7,9,0
1999,Panthers,8,8,0
1998,Panthers,4,12,0
1997,Panthers,7,9,0
1996,Panthers,12,4,0
1995,Panthers,7,9,0
2019,Buccaneers,7,9,0
2018,Buccaneers,5,11,0
2017,Buccaneers,5,11,0
2016,Buccaneers,9,7,0
2015,Buccaneers,6,10,0
2014,Buccaneers,2,14,0
2013,Buccaneers,4,12,0
2012,Buccaneers,7,9,0
2011,Buccaneers,4,12,0
2010,Buccaneers,10,6,0
2009,Buccaneers,3,13,0
2008,Buccaneers,9,7,0
