Team,FF,FR,FR TD,Rec FUM,Rush FUM,Year,INT,INT TD,INT Yds,Lng
Bills,0,0,0,0,0,1986,10,0,89,41
Falcons,0,0,0,0,0,1986,22,2,294,41
Redskins,0,0,0,0,0,1987,23,1,329,100T
Buccaneers,0,0,0,0,0,1987,16,2,248,42
Seahawks,0,0,0,0,0,1987,17,1,289,53
49ers,0,0,0,0,0,1987,25,0,205,34
Chargers,0,0,0,0,0,1987,13,2,291,103T
Steelers,0,0,0,0,0,1987,27,5,336,50T
Cardinals,0,0,0,0,0,1987,14,1,167,60T
Eagles,0,0,0,0,0,1987,21,0,197,63
Jets,0,0,0,0,0,1987,18,0,239,45
Giants,0,0,0,0,0,1987,20,1,263,70T
Saints,0,0,0,0,0,1987,30,0,280,35
Patriots,0,0,0,0,0,1987,21,2,307,51
Vikings,0,0,0,0,0,1987,26,0,303,36
Dolphins,0,0,0,0,0,1987,16,0,135,44
Raiders,0,0,0,0,0,1987,13,2,178,58
Rams,0,0,0,0,0,1987,16,2,305,49
Chiefs,0,0,0,0,0,1987,11,0,140,40
Colts,0,0,0,0,0,1987,20,0,212,68
Oilers,0,0,0,0,0,1987,23,1,274,73T
Packers,0,0,0,0,0,1987,18,0,220,73
Lions,0,0,0,0,0,1987,19,1,290,48
Broncos,0,0,0,0,0,1987,28,2,403,52T
Cowboys,0,0,0,0,0,1987,23,2,208,30
Browns,0,0,0,0,0,1987,23,2,366,76
Bengals,0,0,0,0,0,1987,14,0,187,44
Bears,0,0,0,0,0,1987,13,2,69,23T
Bills,0,0,0,0,0,1987,17,0,93,23
Falcons,0,0,0,0,0,1987,15,0,182,40
Redskins,0,0,0,0,0,1988,14,0,193,43
Buccaneers,0,0,0,0,0,1988,21,1,283,58
Seahawks,0,0,0,0,0,1988,22,1,280,34
49ers,0,0,0,0,0,1988,22,0,88,44
Chargers,0,0,0,0,0,1988,16,1,179,55T
Steelers,0,0,0,0,0,1988,20,2,381,78T
