Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys,Year
Bengals,0,0,0,0,0,0,0,0,973,1983
Bears,0,0,0,0,0,0,0,0,1023,1983
Bills,0,0,0,0,0,0,0,0,1078,1983
Falcons,0,0,0,0,0,0,0,0,1023,1983
Redskins,0,0,0,0,0,0,0,0,1031,1984
Buccaneers,0,0,0,0,0,0,0,0,1033,1984
Seahawks,0,0,0,0,0,0,0,0,1051,1984
49ers,0,0,0,0,0,0,0,0,1029,1984
Chargers,0,0,0,0,0,0,0,0,1021,1984
Steelers,0,0,0,0,0,0,0,0,1016,1984
Cardinals,0,0,0,0,0,0,0,0,991,1984
Eagles,0,0,0,0,0,0,0,0,1108,1984
Jets,0,0,0,0,0,0,0,0,1052,1984
Giants,0,0,0,0,0,0,0,0,1051,1984
Saints,0,0,0,0,0,0,0,0,1026,1984
Patriots,0,0,0,0,0,0,0,0,1066,1984
Vikings,0,0,0,0,0,0,0,0,1062,1984
Dolphins,0,0,0,0,0,0,0,0,1051,1984
Raiders,0,0,0,0,0,0,0,0,1089,1984
Rams,0,0,0,0,0,0,0,0,1058,1984
Chiefs,0,0,0,0,0,0,0,0,1159,1984
Colts,0,0,0,0,0,0,0,0,1116,1984
Oilers,0,0,0,0,0,0,0,0,1075,1984
Packers,0,0,0,0,0,0,0,0,1140,1984
Lions,0,0,0,0,0,0,0,0,1022,1984
Broncos,0,0,0,0,0,0,0,0,1123,1984
Cowboys,0,0,0,0,0,0,0,0,1094,1984
Browns,0,0,0,0,0,0,0,0,995,1984
Bengals,0,0,0,0,0,0,0,0,1034,1984
Bears,0,0,0,0,0,0,0,0,885,1984
Bills,0,0,0,0,0,0,0,0,1052,1984
Falcons,0,0,0,0,0,0,0,0,1019,1984
Redskins,0,0,0,0,0,0,0,0,941,1985
Buccaneers,0,0,0,0,0,0,0,0,1087,1985
Seahawks,0,0,0,0,0,0,0,0,1030,1985
49ers,0,0,0,0,0,0,0,0,1116,1985
Chargers,0,0,0,0,0,0,0,0,1105,1985
Steelers,0,0,0,0,0,0,0,0,990,1985
Cardinals,0,0,0,0,0,0,0,0,1045,1985
