Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM,PDef,Year
Broncos,202,2766,13.7,15,0,0,0,0,0,0,0,1973
Cowboys,187,2301,12.3,15,0,0,0,0,0,0,0,1973
Browns,144,1984,13.8,16,0,0,0,0,0,0,0,1973
Bengals,182,2240,12.3,9,0,0,0,0,0,0,0,1973
Bears,156,1978,12.7,17,0,0,0,0,0,0,0,1973
Bills,166,2394,14.4,12,0,0,0,0,0,0,0,1973
Falcons,151,1619,10.7,11,0,0,0,0,0,0,0,1973
Redskins,197,2102,10.7,13,0,0,0,0,0,0,0,1974
49ers,178,2178,12.2,14,0,0,0,0,0,0,0,1974
Chargers,222,2815,12.7,13,0,0,0,0,0,0,0,1974
Steelers,147,1872,12.7,14,0,0,0,0,0,0,0,1974
Cardinals,230,2581,11.2,11,0,0,0,0,0,0,0,1974
Eagles,230,2684,11.7,9,0,0,0,0,0,0,0,1974
Jets,186,2249,12.1,14,0,0,0,0,0,0,0,1974
Giants,245,2688,11,22,0,0,0,0,0,0,0,1974
Saints,193,2330,12.1,17,0,0,0,0,0,0,0,1974
Patriots,210,2774,13.2,17,0,0,0,0,0,0,0,1974
Vikings,214,2569,12,8,0,0,0,0,0,0,0,1974
Dolphins,200,2452,12.3,14,0,0,0,0,0,0,0,1974
Raiders,175,2425,13.9,12,0,0,0,0,0,0,0,1974
Rams,194,2465,12.7,16,0,0,0,0,0,0,0,1974
Chiefs,206,2838,13.8,22,0,0,0,0,0,0,0,1974
Colts,180,2348,13,16,0,0,0,0,0,0,0,1974
Oilers,231,2724,11.8,19,0,0,0,0,0,0,0,1974
Packers,188,2254,12,10,0,0,0,0,0,0,0,1974
Lions,219,2423,11.1,13,0,0,0,0,0,0,0,1974
Broncos,237,2805,11.8,14,0,0,0,0,0,0,0,1974
Cowboys,178,2451,13.8,17,0,0,0,0,0,0,0,1974
Browns,139,2259,16.3,22,0,0,0,0,0,0,0,1974
Bengals,186,2110,11.3,13,0,0,0,0,0,0,0,1974
Bears,174,2250,12.9,12,0,0,0,0,0,0,0,1974
Bills,146,1898,13,11,0,0,0,0,0,0,0,1974
Falcons,136,1847,13.6,13,0,0,0,0,0,0,0,1974
Redskins,217,2712,12.5,17,0,0,68,0,0,0,0,1975
49ers,228,2521,11.1,15,0,0,65T,0,0,0,0,1975
Chargers,237,2719,11.5,16,0,0,60T,0,0,0,0,1975
Steelers,183,2194,12,9,0,0,59T,0,0,0,0,1975
Cardinals,233,2862,12.3,16,0,0,48T,0,0,0,0,1975
Eagles,226,2658,11.8,13,0,0,66T,0,0,0,0,1975
Jets,180,2860,15.9,26,0,0,90T,0,0,0,0,1975
Giants,196,2539,13,20,0,0,96T,0,0,0,0,1975
Saints,206,2587,12.6,25,0,0,60T,0,0,0,0,1975
Patriots,213,2515,11.8,18,0,0,77T,0,0,0,0,1975
Vikings,175,1994,11.4,14,0,0,64T,0,0,0,0,1975
Dolphins,200,2335,11.7,9,0,0,62T,0,0,0,0,1975
Raiders,171,2318,13.6,14,0,0,68T,0,0,0,0,1975
Rams,187,2126,11.4,11,0,0,68T,0,0,0,0,1975
Chiefs,186,2703,14.5,18,0,0,90T,0,0,0,0,1975
Colts,193,2848,14.8,17,0,0,91,0,0,0,0,1975
Oilers,235,2800,11.9,14,0,0,64,0,0,0,0,1975
Packers,192,2474,12.9,13,0,0,58T,0,0,0,0,1975
Lions,181,2377,13.1,16,0,0,56T,0,0,0,0,1975
Broncos,181,2245,12.4,14,0,0,69T,0,0,0,0,1975
Cowboys,162,2328,14.4,19,0,0,80T,0,0,0,0,1975
Browns,202,2889,14.3,25,0,0,75T,0,0,0,0,1975
Bengals,175,2001,11.4,11,0,0,48,0,0,0,0,1975
